cg08662619 | PCMT1
cg26986062 |
cg00560542 | SYNPO2L
cg14170787 | AKAP2;PALM2-AKAP2
cg12351310 | NDUFS4
cg12146864 | LRP1
cg20144261 | HAR1B;HAR1A
cg27295373 | SLC30A10
cg09594635 |
cg07471461 |
cg02945056 | GCC1
cg08559914 | ACE2
cg27133583 |
cg16683920 | TDRD10;SHE
cg02484307 |
cg00673290 | APOB
cg15909981 | TMPRSS6
cg19446838 | SMTN
cg00907283 |
cg18638434 | C14orf45;ENTPD5
cg11468898 |
cg01616225 | GPR56
cg12984877 | ZNF827
cg16831185 | ATAD5
cg09096555 | GRIN2C
cg19307584 | CHN2
cg10365469 | KIF25
cg02970525 | LMOD1
cg00993308 |
cg20453042 |
cg01424889 | AVIL
cg26668151 | DNAJB6
cg20743365 | LHX9
cg24002653 |
cg19463199 | MIR922;KIAA0226
cg10999992 | H1F0
cg19252931 | C11orf91
cg12298955 | SHANK1
cg10923561 | ST18
cg26946114 | WDR67
cg23217153 |
cg03332897 | PALM
cg09911747 | BCL11B
cg18881440 |
cg24183237 | PDE7B
cg18549688 |
cg04979599 | AFAP1L1
cg08489324 |
cg06909745 |
cg06895640 | C11orf75
cg05374463 | FBXO22
cg13901768 |
cg16468914 | SLC38A3
cg11741004 | CD47
cg21766191 | CIT
cg16631199 | CPN1
cg06384134 | PTPRN2
cg07921371 | GJB2
cg06188744 | PFKP
cg03593189 | STX1A
cg08838671 |
cg21482122 |
cg18072802 | GSX2
cg22675447 | NIPAL3
cg13826247 | HOXC4;HOXC5;HOXC6
cg02564523 | ORAI2
cg13932501 | AUH
cg24205914 | RHOBTB1
cg04752871 |
cg08097359 | NOSIP
cg09473613 | HMGCL
cg06749803 |
cg03886558 | ARHGAP9
cg22989379 | ACSS2
cg23031103 | CBLC
cg24433016 | TTK
cg26023087 |
cg01492626 |
cg22705918 | DNMT3A
cg13443797 | ZPBP
cg02885771 | LTV1
cg02469909 | C22orf45;UPB1
cg08401628 |
cg10888337 | WNT7B
cg17815933 | FOXJ2
cg09785586 |
cg22909677 | ARMC2
cg13309174 | DAK;DDB1
cg04730850 | PXMP4
cg04560213 | SHISA9
cg03893395 | C6orf123
cg19975560 | MIR922;KIAA0226
cg12081325 | EIF2B3
cg02162886 | SIX1
cg01825831 | CCDC13
cg22235407 | MEGF11
cg09340279 | SECTM1
cg19524009 | NEK3
cg04014889 | MAGEL2
cg09735579 | FGF9
cg25224330 |
cg01192745 |
cg25487775 |
cg02089014 |
cg07122365 |
cg06645120 |
cg07986058 | ATP10A
cg01144225 | AMDHD2
cg15836639 | RHBDL3
cg22382805 | COL4A2
cg22317004 |
cg12800962 |
cg03503516 | C22orf45;UPB1
cg14037937 | ABLIM2
cg15314170 | SIRPA
cg09070371 | HS3ST6
cg20735682 |
cg01274524 |
cg10505610 | SH3PXD2B
cg12002303 |
cg21787323 | TMEM126B;DLG2
cg20461691 | SRPX2
cg07580789 | PLA2G12B
cg04891611 |
cg23627948 |
cg03364108 | C22orf45;UPB1
cg24053664 | GLB1L2
cg09284708 | MOCS1
cg22471075 |
cg13795986 | RIT1
cg19214594 | TRABD
cg14794428 | ASCL1
cg12088387 | CXCR7
cg18120323 |
cg04148089 | KIAA0182
cg07825294 | DAZAP1
cg05859777 | INS-IGF2;IGF2AS;IGF2
cg08985063 |
cg00838829 | SSBP3
cg14346208 | PAMR1
cg07268058 | ISL2
cg03938432 | BAI3
cg18522931 | ARID5B
cg26814835 |
cg21154793 | CACNG6
cg20132775 | TRPC1
cg12045999 |
cg05726600 | TMEM176B;TMEM176A
cg02345317 | NLGN3
cg24796998 |
cg19929638 |
cg00097384 | QPRT
cg12905836 | HOXC4;HOXC6;HOXC5
cg15740363 | LOC401463
cg07974367 |
cg10786876 | EEF1A2
cg10086212 | DHH
cg13340746 |
cg25635144 | CCDC13
cg27389648 | XPNPEP2
cg03483654 | DAK;DDB1
cg06895747 | GNA12
cg15456144 | C11orf75
cg07075347 | PGAM2
cg20528093 | PAX6
cg10017293 | SMAGP;DAZAP2
cg07339236 | ATP9A
cg14296274 | PRR18
cg18787420 | BCL2L1
cg18055394 | EPHA3
cg18120564 | COL4A1
cg21251563 | CHN2
cg00425678 |
cg02460314 | CPN1
cg04804717 |
cg19844704 | EMX2;EMX2OS
cg02761568 | RNF182
cg08470264 | MTHFSD
cg04044188 | PDSS1
cg27478242 |
cg20382146 | ZIC5
cg04213073 |
cg20396436 | SYTL3
cg19389372 | SDHAF1
cg07068735 | RAB8B
cg23197945 | CPN1
cg07227033 | ARL4A
cg01994486 |
cg14210607 |
cg23272544 | AIRE
cg08031151 |
cg12382398 | ANPEP
cg06205172 |
cg16987524 | FBLN7
cg08224563 | LYRM1
cg15920654 |
cg19252565 | KIF25
cg26950756 |
cg20943338 | NEXN
cg02477448 | H1F0
cg17826893 | CLYBL
cg07871313 |
cg10886747 | ZCCHC24
cg20568390 | SSBP3
cg25425784 | DLL3
cg22047295 | WIPF1
cg09246479 | C22orf45;UPB1
cg12646820 | RNF182
cg21380183 | ATP9A
cg26418147 | RAB7L1
cg09322003 |
cg04563996 | ARHGEF3;SPATA12
cg08385249 | LIMS2
cg15339180 | NLGN3
cg04802386 | NHEDC2
cg22806907 | PLEKHH3
cg12492885 | C22orf45;UPB1
cg13465645 | HMG20B
cg16922340 | FAM83C;EIF6
cg21748836 |
cg07780543 |
cg19721889 | HAND1
cg17279103 | MRPS14
cg19313402 | SLC30A10
cg22196764 |
cg23302603 | KIF1A
cg21415347 | ZBTB40
cg20951555 | PRTG
cg26236972 |
cg21159128 | SSBP3
cg05109049 | NF1;EVI2B
cg01317569 | ELOVL7
cg05833518 | CLCN5
cg12065138 | AJAP1
cg07125771 | FHOD1
cg11784799 |
cg13772414 | EPHA4
cg07952579 | CPXCR1
cg18169505 |
cg23415212 | CACNB1
cg23998119 | ZDHHC22
cg03453638 | GFRA2
cg02882044 | MAP1B
cg14633742 | FANCC
cg22606303 |
cg23928468 | SLC5A6
cg10077502 |
cg21936959 | MRGPRF
cg22774681 |
cg16046561 |
cg18275051 | CYB5R1
cg04614997 | SEZ6
cg24725263 | ITGA7
cg16765393 | GNA12
cg19088553 | GRIK2
cg26870337 | ZBTB40
cg01381109 |
cg14195249 |
cg05492975 | CDH4
cg18096253 | ARRDC2
cg20128380 | TSHZ2
cg05099537 |
cg27101125 | ANKLE1
cg16046493 | FAM107A
cg25345178 |
cg01146614 | EZR
cg20742389 | GIPC1
cg25569840 |
cg27400956 |
cg13378934 | MEIS3
cg00965168 |
cg06061086 |
cg14981432 | C11orf9
cg00543684 | MCF2L
cg26747269 |
cg24882551 |
cg12550055 | C22orf45;UPB1
cg22772386 |
cg04534926 | CBLN1
cg21144493 | CAMTA1
cg09871057 | STX1A
cg23194766 | PPP2R3A
cg12355180 | SLC30A10
cg01772192 | MESDC2
cg21485303 |
cg14459130 | SP9
